measurement,created_at,app,rails,ruby,platform
8.947849273681641e-05,2012-12-27T14:05:01Z,master.29ce14b,3.2.9,ruby-1.9.3.194,x86_64-darwin12.2.0
9.582042694091796e-05,2012-12-27T14:05:26Z,master.29ce14b,3.2.9,ruby-1.9.3.194,x86_64-darwin12.2.0
5.000727677345276,2012-12-27T14:21:58Z,master.29ce14b,3.2.9,ruby-1.9.3.194,x86_64-darwin12.2.0
