measurement,created_at,app,rails,ruby,platform
0.0,2012-12-27T14:05:02Z,master.29ce14b,3.2.9,ruby-1.9.3.194,x86_64-darwin12.2.0
0.0,2012-12-27T14:05:28Z,master.29ce14b,3.2.9,ruby-1.9.3.194,x86_64-darwin12.2.0
0.0,2012-12-27T14:23:40Z,master.29ce14b,3.2.9,ruby-1.9.3.194,x86_64-darwin12.2.0
